Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,46,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1782270533939481.276	,1351.544,0,40,0,NO,""";;""",INT64;INT64;INT64,ND;ND;ND,"""8388608""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347.026,96985850,0.078,0.0,1326.149,0.985,0.677,0.001,15.432,0.011,0.0,0.000
0,4294967295,1,46,aclnnRemainderTensorScalar_BroadcastToAiCore_BroadcastTo,BroadcastTo,dynamic,AI_VECTOR_CORE,1782270533948119.048	,318.584,7286.206000,40,0,NO,""";1""",INT64;INT64,ND;ND,"""8388608""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.89,22672072,247.639,0.786,167.811,0.533,0.144,0.0,12.283,0.039,0.0,0.000
0,4294967295,2,46,aclnnRemainderTensorScalar_FloorModAiCore_FloorMod,FloorMod,dynamic,AI_VECTOR_CORE,1782270533950427.192	,3773.956,1989.666000,40,0,NO,"""8388608;8388608""",INT64;INT64,ND;ND,"""8388608""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3762.019,270865341,0.015,0.0,3724.286,0.99,32.737,0.009,15.317,0.004,0.0,0.000
0,4294967295,3,46,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1782270533954201.168	,23.320,0.044000,40,0,NO,"""8388608""",INT64,ND,"""8388608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.898,1576679,5.057,0.231,1.185,0.054,18.145,0.829,11.571,0.528,0.024,0.000
0,4294967295,4,46,aclnnDivs_RealDivAiCore_RealDiv,RealDiv,dynamic,AI_VECTOR_CORE,1782270533959739.060	,22.560,5514.430000,40,0,NO,"""8388608;""",FLOAT;FLOAT,ND;ND,"""8388608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.072,1517211,6.231,0.296,1.55,0.074,9.823,0.466,13.484,0.64,0.015,0.000
0,4294967295,5,46,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1782270533959882.860	,15.424,121.190000,40,0,NO,""";;""",INT64;INT64;INT64,ND;ND;ND,"""65536""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.679,984857,0.016,0.001,12.233,0.894,0.848,0.062,0.591,0.043,0.001,0.000
0,4294967295,6,46,aclnnRemainderTensorScalar_BroadcastToAiCore_BroadcastTo,BroadcastTo,dynamic,AI_VECTOR_CORE,1782270533959955.924	,9.300,57.826000,40,0,NO,""";1""",INT64;INT64,ND;ND,"""65536""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46,465146,1.987,0.308,1.418,0.219,0.105,0.016,0.319,0.049,0.023,0.000
0,4294967295,7,46,aclnnRemainderTensorScalar_FloorModAiCore_FloorMod,FloorMod,dynamic,AI_VECTOR_CORE,1782270533959997.404	,37.100,32.200000,40,0,NO,"""65536;65536""",INT64;INT64,ND;ND,"""65536""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61,2491898,0.013,0.0,29.286,0.846,2.055,0.059,0.175,0.005,0.003,0.000
0,4294967295,8,46,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1782270533960047.724	,6.740,13.150000,40,0,NO,"""65536""",INT64,ND,"""65536""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.557,328084,0.051,0.011,0.184,0.04,0.992,0.218,0.432,0.095,0.181,0.000
0,4294967295,9,46,aclnnDivs_RealDivAiCore_RealDiv,RealDiv,dynamic,AI_VECTOR_CORE,1782270533960086.244	,5.344,31.760000,40,0,NO,"""65536;""",FLOAT;FLOAT,ND;ND,"""65536""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.206,230856,0.076,0.024,0.189,0.059,0.487,0.152,0.288,0.09,0.096,0.000
0,4294967295,10,46,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1782270533960407.352	,22.580,315.656000,40,0,NO,"""8388608""",FLOAT,ND,"""8388608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.779,1424118,0.008,0.0,0.231,0.012,7.729,0.391,8.892,0.45,0.113,0.000
0,4294967295,12,46,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1782270533960501.332	,19.784,71.420000,40,0,NO,"""8388608""",FLOAT,ND,"""8388608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.33,1103774,0.008,0.001,0.95,0.062,6.457,0.421,7.854,0.512,0.0,0.000
0,4294967295,14,46,seeded_serial_kernel,seeded_serial_kernel,static,AI_VECTOR_CORE,1782270534088613.236	,3289.024,128092.216000,4096,0,YES,"""8388608;65536""",FLOAT;FLOAT,ND;ND,"""8388608;65536""",FLOAT;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3289.475,235462528,2992.249,0.91,660.626,0.201,16.207,0.005,17.485,0.005,0.0,0.000
0,4294967295,15,46,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1782270534091902.280	,18.420,0.000000,40,0,NO,"""8388608""",FLOAT,ND,"""8388608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.052,1083716,0.008,0.001,1.09,0.072,6.748,0.448,7.145,0.475,0.0,0.000
0,4294967295,17,46,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1782270534091921.840	,18.660,1.080000,40,0,NO,"""8388608""",FLOAT,ND,"""8388608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.89,1072095,0.008,0.001,1.092,0.073,6.6,0.443,7.126,0.479,0.0,0.000
0,4294967295,19,46,seeded_serial_kernel,seeded_serial_kernel,static,AI_VECTOR_CORE,1782270534091941.640	,3287.628,1.340000,4096,0,YES,"""8388608;65536""",FLOAT;FLOAT,ND;ND,"""8388608;65536""",FLOAT;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3287.928,235351819,2992.248,0.91,665.141,0.202,14.477,0.004,16.032,0.005,0.0,0.000
0,4294967295,20,46,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1782270534095229.284	,18.264,0.000000,40,0,NO,"""8388608""",FLOAT,ND,"""8388608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.825,1067436,0.008,0.001,1.062,0.072,6.537,0.441,7.155,0.483,0.0,0.000
0,4294967295,22,46,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1782270534095248.668	,19.320,1.236000,40,0,NO,"""8388608""",FLOAT,ND,"""8388608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.134,1089650,0.008,0.001,1.125,0.074,6.854,0.453,7.083,0.468,0.0,0.000
0,4294967295,24,46,seeded_serial_kernel,seeded_serial_kernel,static,AI_VECTOR_CORE,1782270534095269.108	,3290.104,0.930000,4096,0,YES,"""8388608;65536""",FLOAT;FLOAT,ND;ND,"""8388608;65536""",FLOAT;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3289.429,235459232,2992.248,0.91,666.635,0.203,14.472,0.004,16.039,0.005,0.0,0.000
0,4294967295,25,46,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1782270534098559.232	,18.700,0.146000,40,0,NO,"""8388608""",FLOAT,ND,"""8388608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.489,1043215,0.008,0.001,1.202,0.083,6.284,0.434,6.932,0.478,0.0,0.000
0,4294967295,27,46,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1782270534098579.052	,19.440,1.050000,40,0,NO,"""8388608""",FLOAT,ND,"""8388608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.173,1092438,0.008,0.001,1.208,0.08,6.85,0.451,7.044,0.464,0.0,0.000
0,4294967295,29,46,seeded_serial_kernel,seeded_serial_kernel,static,AI_VECTOR_CORE,1782270534098599.652	,3287.388,1.310000,4096,0,YES,"""8388608;65536""",FLOAT;FLOAT,ND;ND,"""8388608;65536""",FLOAT;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3286.968,235283087,2992.248,0.91,664.26,0.202,14.452,0.004,15.972,0.005,0.0,0.000
0,4294967295,30,46,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1782270534101887.060	,18.700,0.000000,40,0,NO,"""8388608""",FLOAT,ND,"""8388608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,1123175,0.008,0.0,1.164,0.075,7.089,0.454,7.276,0.466,0.0,0.000
0,4294967295,32,46,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1782270534101906.900	,18.460,1.300000,40,0,NO,"""8388608""",FLOAT,ND,"""8388608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.849,1069096,0.008,0.001,1.361,0.092,6.274,0.423,7.142,0.481,0.0,0.000
