Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,vector_peak_transcendental_log,vector_peak_transcendental_log,dynamic,AI_CORE,1788226300927311.912	,237.421,0,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.944,426500,211.135,0.891,74.009,0.312,0.633,0.003,0.608,0.003,0.0,0.000
0,4294967295,2,47,vector_peak_transcendental_log,vector_peak_transcendental_log,dynamic,AI_CORE,1788226300927629.126	,236.601,79.829000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.121,425018,211.128,0.894,73.507,0.311,0.433,0.002,0.459,0.002,0.0,0.000
0,4294967295,4,47,vector_peak_transcendental_log,vector_peak_transcendental_log,dynamic,AI_CORE,1788226300927913.784	,235.081,47.899000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.604,422287,211.128,0.9,73.179,0.312,0.081,0.0,0.108,0.0,0.0,0.000
0,4294967295,6,47,vector_peak_transcendental_log,vector_peak_transcendental_log,dynamic,AI_CORE,1788226300928193.361	,236.421,44.419000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.939,424690,211.128,0.895,73.48,0.311,0.484,0.002,0.445,0.002,0.0,0.000
0,4294967295,8,47,vector_peak_transcendental_log,vector_peak_transcendental_log,dynamic,AI_CORE,1788226300928471.139	,235.061,41.579000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.58,422244,211.128,0.9,73.144,0.312,0.088,0.0,0.109,0.0,0.0,0.000
0,4294967295,10,47,vector_peak_transcendental_log,vector_peak_transcendental_log,dynamic,AI_CORE,1788226300928747.017	,236.581,40.689000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.058,424905,211.131,0.894,73.527,0.311,0.489,0.002,0.459,0.002,0.0,0.000
0,4294967295,12,47,vector_peak_transcendental_log,vector_peak_transcendental_log,dynamic,AI_CORE,1788226300929023.875	,235.121,40.419000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.602,422284,211.132,0.9,73.177,0.312,0.089,0.0,0.116,0.0,0.0,0.000
0,4294967295,14,47,vector_peak_transcendental_log,vector_peak_transcendental_log,dynamic,AI_CORE,1788226300929298.633	,236.461,39.629000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.947,424704,211.128,0.895,73.511,0.312,0.409,0.002,0.464,0.002,0.0,0.000
0,4294967295,16,47,vector_peak_transcendental_log,vector_peak_transcendental_log,dynamic,AI_CORE,1788226300929573.751	,235.081,38.539000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.581,422246,211.128,0.9,73.184,0.312,0.101,0.0,0.12,0.001,0.0,0.000
0,4294967295,18,47,vector_peak_transcendental_log,vector_peak_transcendental_log,dynamic,AI_CORE,1788226300929847.909	,236.781,39.169000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.251,425252,211.132,0.894,73.568,0.311,0.424,0.002,0.473,0.002,0.0,0.000
