Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,vector_peak_transcendental_rsqrt,vector_peak_transcendental_rsqrt,dynamic,AI_CORE,1788226318255336.133	,153.868,0,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.325,275985,127.795,0.833,73.734,0.481,0.57,0.004,0.526,0.003,0.0,0.000
0,4294967295,2,47,vector_peak_transcendental_rsqrt,vector_peak_transcendental_rsqrt,dynamic,AI_CORE,1788226318255568.474	,153.408,78.382000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.844,275120,127.795,0.836,73.538,0.481,0.558,0.004,0.448,0.003,0.0,0.000
0,4294967295,4,47,vector_peak_transcendental_rsqrt,vector_peak_transcendental_rsqrt,dynamic,AI_CORE,1788226318255770.998	,151.868,49.092000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.302,272344,127.795,0.845,73.105,0.483,0.111,0.001,0.132,0.001,0.0,0.000
0,4294967295,6,47,vector_peak_transcendental_rsqrt,vector_peak_transcendental_rsqrt,dynamic,AI_CORE,1788226318255968.322	,153.468,45.382000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.008,275414,127.795,0.835,73.64,0.481,0.41,0.003,0.455,0.003,0.0,0.000
0,4294967295,8,47,vector_peak_transcendental_rsqrt,vector_peak_transcendental_rsqrt,dynamic,AI_CORE,1788226318256167.266	,151.848,45.532000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.402,272524,127.795,0.844,73.176,0.483,0.086,0.001,0.119,0.001,0.0,0.000
0,4294967295,10,47,vector_peak_transcendental_rsqrt,vector_peak_transcendental_rsqrt,dynamic,AI_CORE,1788226318256363.591	,153.367,44.402000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.888,275198,127.795,0.836,73.596,0.481,0.412,0.003,0.454,0.003,0.0,0.000
0,4294967295,12,47,vector_peak_transcendental_rsqrt,vector_peak_transcendental_rsqrt,dynamic,AI_CORE,1788226318256558.795	,151.848,41.883000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.359,272447,127.795,0.844,73.203,0.484,0.093,0.001,0.119,0.001,0.0,0.000
0,4294967295,14,47,vector_peak_transcendental_rsqrt,vector_peak_transcendental_rsqrt,dynamic,AI_CORE,1788226318256751.840	,153.387,41.152000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.854,275137,127.795,0.836,73.554,0.481,0.454,0.003,0.466,0.003,0.0,0.000
0,4294967295,16,47,vector_peak_transcendental_rsqrt,vector_peak_transcendental_rsqrt,dynamic,AI_CORE,1788226318256944.444	,151.868,39.363000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.358,272444,127.795,0.844,73.133,0.483,0.104,0.001,0.136,0.001,0.0,0.000
0,4294967295,18,47,vector_peak_transcendental_rsqrt,vector_peak_transcendental_rsqrt,dynamic,AI_CORE,1788226318257135.649	,153.588,39.382000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.118,275612,127.795,0.835,73.699,0.481,0.446,0.003,0.486,0.003,0.0,0.000
